filter_company,date,filter_employee_title,filter_city,filter_country,employee_status,review_title,weight,metric_rating_overall,metric_rating_balance,metric_rating_culture,metric_rating_career,metric_rating_comp,metric_rating_mgmt,review_title_knowledge,review_title_power,review_title_respect,review_title_trust,review_title_social_support,review_title_romance,review_title_similarity,review_title_identity,metric_review_title_fun,review_title_conflict,pros_knowledge,pros_power,pros_respect,pros_trust,pros_social_support,pros_romance,pros_similarity,pros_identity,pros_fun,pros_conflict,cons_knowledge,cons_power,cons_respect,cons_trust,cons_social_support,cons_romance,cons_similarity,cons_identity,cons_fun,cons_conflict
starbucks,2020-1,Barista,,,Former Employee,Decent employer,3,4,3,4,3,1,3,0.4542388022,0.5169764757,0.4650473595,0.4955620766,0.5037845373,0.2927865982,0.4936527014,0.4944089949,0.5015862584,0.4895320833,0.3931835592,0.4919061959,0.6602170467,0.5826859474,0.5375078321,0.01935703121,0.5461594462,0.4722200632,0.7624105215,0.1911280155,0.7207350135,0.2507516146,0.2322079241,0.2292268574,0.5301284194,0.00968258176,0.3502443135,0.3787558675,0.1356198192,0.04225866497
starbucks,2020-1,Barista,,,Former Employee,Good Job,3,4,4,4,5,4,4,0.4624680579,0.5143737793,0.5350709558,0.5102966428,0.5414267778,0.3652175665,0.5026384592,0.4615233541,0.630602479,0.4264075458,0.5123260617,0.3665034473,0.5153089762,0.7874398828,0.6439455152,0.01281498745,0.5506587625,0.4277480543,0.5323219299,0.02336720005,0.7717846632,0.06105429307,0.2485923618,2.40E-06,0.06148110703,0.003111761529,0.1004307643,0.2679285109,0.65419209,0.6525717974
starbucks,2020-1,Shift Supervisor,"London, England",United Kingdom,Current Employee,Job nice but...,3,3,1,4,2,1,2,0.3950151801,0.3967186511,0.5404127836,0.5092574358,0.6054376364,0.3378396928,0.5072338581,0.4608777761,0.7849025726,0.2603500485,0.6929422021,0.6155728102,0.3368509114,0.32795012,0.4568086863,0.002607248025,0.4143095315,0.4297052622,0.3606929183,0.229907766,0.7582728267,0.3232885003,0.1644613147,9.29E-07,0.5356829166,0.001938797301,0.09975881875,0.291134119,0.2902759016,0.03095654026
starbucks,2020-1,Consulting Support Analyst,"London, England",United Kingdom,Current Employee,Sky high expectations,3,2,2,4,2,3,2,0.5218074322,0.5241420865,0.4958787858,0.4700602591,0.46800825,0.3026875257,0.4979757071,0.4876247048,0.3647699058,0.4066081345,0.637259841,0.1024063081,0.1937072277,0.9210515022,0.7001817226,0.003837664379,0.1122227237,0.2745872736,0.3485768735,0.1143257096,0.4204356074,0.02023699321,0.3234745562,0.88639009,0.6711360216,0.01001295168,0.4445151091,0.3026629984,0.5414261222,0.07494286448
starbucks,2020-1,Supervisor,,,Current Employee,Good company,4,5,4,4,4,5,4,0.4970557988,0.5197421312,0.5266646147,0.5193431973,0.5061910748,0.3444794118,0.5010618567,0.4824694693,0.5681003332,0.3684713244,0.5617750287,0.4480472803,0.5320955515,0.5093795061,0.5801049471,0.0112730125,0.3665445447,0.4280337989,0.573249042,0.1643159539,0.3334868252,0.1840611249,0.4926134944,0.5778317451,0.6256434321,0.2058262825,0.3911123872,0.4575703442,0.7514770627,0.3514372408
starbucks,2020-1,Shift Supervisor,"Maidstone, England",United Kingdom,Current Employee,It's a pretty chill job,1,4,4,5,3,3,4,0.3929440975,0.3375939131,0.4384893775,0.3786113262,0.4882304668,0.1693557948,0.4619493186,0.4592597485,0.7695271969,0.5049670935,0.6367416978,0.05934580788,0.1708152443,0.1487579048,0.5507022738,0.00183646474,0.4330330491,0.3370423913,0.2705005109,0.3559172153,0.6359367967,0.5361181498,0.3407500684,0.4998394847,0.4639246166,0.06688122451,0.4196401834,0.4639725089,0.3502696455,0.4053481519
starbucks,2020-1,Barista,"Winchester, England",United Kingdom,Former Employee,Starbucks is a great place to get you started in barista life,5,5,4,5,5,4,3,0.5253605247,0.3792130351,0.2582704723,0.52678442,0.5901258588,0.03071787395,0.5409969091,0.3850364387,0.4229154885,0.08692025393,0.6620620489,0.6692951322,0.4433332384,0.112271376,0.540009439,0.008987399749,0.4334751666,0.3670018613,0.5074437261,0.2301128358,0.8726596236,0.2563630342,0.09057916701,8.68E-07,0.5207747221,0.01402155217,0.1339348257,0.2547345757,0.3662330806,0.05379043519
starbucks,2020-1,Shift Supervisor,"London, England",United Kingdom,Former Employee,Cons outweigh the pros,4,3,1,1,2,4,2,0.535669446,0.5218570828,0.4743783474,0.4976396561,0.4640908837,0.1127511039,0.5122904778,0.4982383549,0.4749028087,0.3234550357,0.8823723197,0.7315753102,0.1701011658,0.8763597012,0.5972508788,0.008035030216,0.07643572241,0.3269740939,0.2367556542,0.004016060382,0.9895008206,0.0244004745,0.09112274647,8.45E-07,0.002580021741,0.002317885635,0.9947050214,0.3005145788,0.2713763416,0.0505415611
starbucks,2020-2,Barista,,,Former Employee,Good and Flexible,2,1,,,,,,0.5012692213,0.4377939403,0.5450239778,0.5446139574,0.5523458719,0.1949299276,0.4664109945,0.4741782248,0.5256538391,0.3050684631,0.6115307212,0.48352319,0.606887579,0.401666224,0.5547249913,0.001394612715,0.4452331662,0.4018586576,0.9800712466,0.08030730486,0.6689884663,0.6332761049,0.3942242563,0.2453426868,0.3928866684,0.008111530915,0.4021726251,0.4499237239,0.2406680733,0.211082384
starbucks,2020-1,Barista,"Stoke-on-Trent, England",United Kingdom,Former Employee,"Assistive, Fast-paced reputable company",1,4,5,2,3,5,3,0.6250705719,0.4787672758,0.4813247025,0.4514067471,0.5638709068,0.0444374755,0.4258390963,0.4763601124,0.3270592093,0.3184226155,0.5881792903,0.6141570807,0.5475327969,0.5401690602,0.6704266667,0.1148104519,0.4342164099,0.4437651932,0.492716521,0.1443424225,0.5824695826,0.6629863381,0.5183719993,0.4702721834,0.4799386561,0.002973969094,0.4371073246,0.5249623656,0.100183703,0.5394055247
starbucks,2020-1,Barista,"Stoke-on-Trent, England",United Kingdom,Former Employee,"Assistive, Fast-paced reputable company",5,4,5,2,3,5,3,0.6250705719,0.4787672758,0.4813247025,0.4514067471,0.5638709068,0.0444374755,0.4258390963,0.4763601124,0.3270592093,0.3184226155,0.5881792903,0.6141570807,0.5475327969,0.5401690602,0.6704266667,0.1148104519,0.4342164099,0.4437651932,0.492716521,0.1443424225,0.5824695826,0.6629863381,0.5183719993,0.4702721834,0.4799386561,0.002973969094,0.4371073246,0.5249623656,0.100183703,0.5394055247
starbucks,2020-1,Barista,,,Former Employee,Really enjoyed my time there,1,3,,,,,,0.2923073471,0.2863180339,0.7165971398,0.5885639787,0.5426687598,0.5890728235,0.520429492,0.43390432,0.8845117688,0.1803285182,0.7251688242,0.5761682987,0.3341392279,0.3544091284,0.2780925333,0.009476779029,0.5430319309,0.5081869364,0.5573999286,0.2623964548,0.6805899739,0.5994337797,0.3282085955,0.03470697626,0.2902526259,0.01585827582,0.4652374983,0.4777625203,0.4858979285,0.4656236172
starbucks,2019-12,Supervisor,"London, England",United Kingdom,Current Employee,main focuses are to run shifts.,4,5,5,5,5,5,5,0.7210900784,0.5012238622,0.2164837867,0.3967938721,0.3329101801,0.008782217279,0.5305680633,0.5415623784,0.1051072702,0.3203326166,0.608050108,0.5073651075,0.3028330207,0.4307892919,0.5291082859,0.07355522364,0.3468829095,0.4237038791,0.05732940882,0.2989989817,0.4679377675,0.5374228954,0.459084779,0.534650445,0.555847168,0.2933136225,0.457829982,0.456053108,0.5552281737,0.3120661676
starbucks,2019-12,Barista,"Royal Tunbridge Wells, England",United Kingdom,Former Employee,Starbucks,3,4,4,4,4,4,4,0.5208953619,0.5520901084,0.4840110242,0.482997179,0.465083003,0.4613327384,0.4975291491,0.4864306748,0.4372374117,0.5182492733,0.616705358,0.5214320421,0.5079964995,0.4774939418,0.5563555956,0.09814307094,0.3922749758,0.4093311429,0.4488605857,0.1579087377,0.5674943328,0.4113821685,0.423548311,0.457891643,0.4085350931,0.06192974746,0.4398742914,0.4688385725,0.481844157,0.4023864269
starbucks,2020-2,Barista,"Edinburgh, Scotland",United Kingdom,Current Employee,Worst mistake of my life,1,1,1,1,1,1,1,0.3065479696,0.341396898,0.4722277224,0.4889791906,0.4774928689,0.5067691207,0.4453820884,0.4328247607,0.5794727206,0.7000827193,0.4807469845,0.4073120952,0.3044263124,0.3630453348,0.4888488948,0.01332047116,0.2718180716,0.3105691969,0.443198055,0.3435155749,0.7312584519,0.3485163152,0.2181679904,0.5081249475,0.3414663374,0.002918082755,0.6214196682,0.5407021046,0.1410367638,0.4044594467
starbucks,2020-1,Assistant Manager,,,Former Employee,I hated it,3,2,1,4,4,3,2,0.3436879218,0.3928147256,0.5128884912,0.4973705411,0.4864262938,0.5110009909,0.50429672,0.4860535562,0.5766085982,0.5657753348,0.3819606006,0.2604955733,0.647585988,0.6039795876,0.6517586708,0.126450941,0.515933454,0.4122512639,0.6046481729,0.09408871084,0.4957672656,0.4062661529,0.3097154498,0.4580816925,0.4508006275,0.09058989584,0.5344486237,0.4221226275,0.6387495995,0.4903148115
starbucks,2020-1,Coffee Master,"London, England",United Kingdom,Current Employee,It’s a good part-time job,5,3,2,2,2,5,2,0.4956713915,0.2466268241,0.4152195752,0.556222856,0.5769108534,0.04389407858,0.4771060348,0.4135572314,0.5184984207,0.2324872315,0.9252729416,0.9575361013,0.09248968959,7.34E-07,0.5415558219,0.000112983289,0.07135676593,0.2809536755,0.03243422881,0.05482731387,0.6649618149,0.007784414105,0.04801286757,0.6751167178,0.3228165805,0.0001120681263,0.005694367457,0.3759481907,0.01676412113,0.1261205971
starbucks,2020-1,Consulting Support Analyst,,,Current Employee,Franchising was a mistake,4,2,3,2,3,1,1,0.5115297437,0.5690436959,0.4525805712,0.4015378058,0.4024068117,0.1490993202,0.4627882838,0.4593200982,0.5337167978,0.5345199704,0.3586935997,0.180471316,0.6320697665,0.5749827027,0.5738195777,0.01826437749,0.3658044338,0.3832522929,0.909904778,0.1973484606,0.5975546241,0.522937119,0.2777316868,7.58E-05,0.5492321849,0.01506137755,0.2948082387,0.402344048,0.2861818969,0.5211179852
starbucks,2019-12,Manager,"Thirsk, England",United Kingdom,Current Employee,Great,3,5,5,4,5,4,4,0.4941681921,0.4989888966,0.560097456,0.5028497577,0.4812172651,0.4168068469,0.4977353215,0.484064877,0.5308471322,0.4096265137,0.6531201005,0.06208046153,0.6157603264,0.6614883542,0.7048115134,4.21E-05,0.2785850167,0.3634051085,0.9976168871,0.002978887642,0.5064070821,0.4768584669,0.5308278799,0.491704464,0.5635078549,0.1753189713,0.4286279976,0.4269781709,0.8531897664,0.2332367003
starbucks,2020-1,Barista,,,Current Employee,Starbucks,1,3,3,3,3,3,3,0.5208953619,0.5520901084,0.4840110242,0.482997179,0.465083003,0.4613327384,0.4975291491,0.4864306748,0.4372374117,0.5182492733,0.5944130421,0.5407363176,0.5184522867,0.2477389425,0.6444213986,0.003641828429,0.2256478816,0.4319447875,0.3518283069,0.1556420326,0.5918237567,0.438484937,0.3906028867,0.05105059594,0.2231157124,0.003050993895,0.2608342171,0.4245474637,0.2645955086,0.4340710044
starbucks,2019-12,Barista,,,Current Employee,Good company,3,4,3,3,4,3,4,0.4970557988,0.5197421312,0.5266646147,0.5193431973,0.5061910748,0.3444794118,0.5010618567,0.4824694693,0.5681003332,0.3684713244,0.4796834886,0.4077652991,0.6310706735,0.6020076275,0.5961275101,0.04109774902,0.4896835387,0.4802784622,0.5895469189,0.2323687375,0.558298409,0.6425074935,0.4662588239,0.4081793427,0.4205134809,0.1043176502,0.471696347,0.4994585514,0.4296439886,0.2988534868
starbucks,2020-1,Supervisor,"London, England",United Kingdom,Current Employee,Not Great,4,1,1,3,2,1,2,0.4653393328,0.4743485749,0.54177773,0.4889710844,0.4838293493,0.3260342479,0.492872715,0.511526525,0.5838732719,0.4556478858,0.6334117055,0.5986491442,0.469492048,0.4655304849,0.4964290261,0.02332109399,0.3398385644,0.40867275,0.4544429481,0.1663879901,0.3851665258,0.4142804742,0.5513014793,0.4241107106,0.5592753887,0.1087621301,0.4238694906,0.4729636312,0.2143843621,0.627338469
starbucks,2019-12,Barista,"Newcastle upon Tyne, England",United Kingdom,Current Employee,Fair,1,3,3,4,2,4,1,0.5051187873,0.5018591285,0.512722075,0.4995636046,0.4917516708,0.4804201126,0.4789166451,0.4952317178,0.5868073106,0.5081094503,0.5455701351,0.6115575433,0.3855989575,0.3378065825,0.5339230299,0.03484850004,0.4268983006,0.400346607,0.64888978,0.2542962134,0.7930254936,0.869177103,0.09017395973,1.14E-06,0.3197350502,0.02084712312,0.2547132075,0.2238896042,0.2497351617,0.195490405
starbucks,2019-12,Barista,,,Former Employee,Great little job,3,4,4,4,5,5,4,0.4598133266,0.4866195023,0.6034343839,0.5179216266,0.5128433704,0.2143891007,0.4990543127,0.4351838827,0.5582916737,0.291154325,0.5410992503,0.3425021768,0.5159198642,0.1832316667,0.8110880852,0.0001521239465,0.357761234,0.4182785451,0.09160757065,0.02951766551,0.9862404466,0.02095895633,0.03660183772,5.81E-07,0.1298383921,0.006888499483,0.006458935328,0.3140813708,0.06964577734,0.3505994976
starbucks,2020-1,Store SSV,"London, England",United Kingdom,Former Employee,Numbers,2,1,1,2,3,1,1,0.5096822977,0.5361455679,0.4645467103,0.4834890664,0.4744433463,0.3787610233,0.4845515192,0.4859874547,0.4825450778,0.4976401329,0.6864013076,0.4362612665,0.4479034543,0.3313958645,0.4033979774,4.35E-05,0.2735232413,0.4277552962,0.1430681944,0.1477493942,0.6544442773,0.4897924066,0.1005646959,0.01552771218,0.2518189251,0.0003458497813,0.3706095815,0.4972665906,0.1678537279,0.5608372092
starbucks,2019-12,Supervisor,"Edinburgh, Scotland",United Kingdom,Current Employee,Good,3,4,4,4,4,4,5,0.4854238629,0.495514065,0.5243846774,0.5077182055,0.5147767067,0.4531864822,0.5010190606,0.4863263369,0.5996932387,0.4588930905,0.3950778842,0.4314970374,0.5833149552,0.5132555366,0.5247968435,0.1654757857,0.4952370226,0.4596807957,0.7409442067,0.2227725685,0.5776536465,0.5374746919,0.4396546781,0.3504193127,0.4597146511,0.03778618202,0.381890893,0.4314445853,0.4496330619,0.2704683244
starbucks,2019-12,Store Manager,,,Current Employee,Positive enviroment,1,5,3,5,5,1,5,0.4874194264,0.5220830441,0.556081593,0.4940079153,0.5033305287,0.2666509151,0.4928362966,0.5117880702,0.464676559,0.4812769294,0.4858846366,0.4279907346,0.7133467197,0.5806153417,0.607981503,0.03684068099,0.4285854101,0.4387205839,0.3818810582,0.08576367795,0.5273507237,0.4929710925,0.4435582757,0.4079090953,0.510561049,0.07282979041,0.4411973059,0.4527451992,0.469530046,0.3996377885
starbucks,2019-12,Barista,,,Former Employee,Alright,2,4,,,,,,0.4385895729,0.4904793799,0.5156713724,0.4920124114,0.4850145578,0.4662460089,0.4902477562,0.4746040702,0.6000865698,0.5168891549,0.2791300118,0.08837459981,0.7042847276,0.8720245957,0.7700120211,0.005805228371,0.3884449899,0.3177587092,0.8157355189,0.04260868952,0.9879887104,0.02084720135,0.07497100532,8.67E-07,0.006822575349,0.001841314486,0.006535362918,0.2901949286,0.4086468518,0.2611729205
starbucks,2019-12,Manager,,,Former Employee,Good,3,4,3,3,3,4,3,0.4854238629,0.495514065,0.5243846774,0.5077182055,0.5147767067,0.4531864822,0.5010190606,0.4863263369,0.5996932387,0.4588930905,0.5786012411,0.533842504,0.4250409007,0.4583308697,0.417478323,0.2030556053,0.4576210678,0.5311358571,0.4740696251,0.3702612519,0.5360595584,0.3304267824,0.4040129483,0.7478429079,0.5324071646,0.3649738729,0.5507307053,0.4461692274,0.6474748254,0.208421275
starbucks,2019-12,Barista,"Guildford, England",United Kingdom,Current Employee,Barusta,3,4,3,3,3,2,3,0.5352395177,0.4709847569,0.5000308752,0.4854360521,0.4630463123,0.4087046683,0.4710223377,0.488166362,0.1883898675,0.5127844214,0.4001666903,0.3760538101,0.6379306316,0.5853185654,0.6347116232,0.08080317825,0.4393291175,0.4053378701,0.7564003468,0.1946791708,0.4847224057,0.5292147398,0.483294487,0.4716886878,0.4508589804,0.1002535075,0.509904027,0.4547579885,0.6196380854,0.3036093116
starbucks,2019-12,Barista,"Newcastle, England",United Kingdom,Former Employee,Good,5,5,3,3,3,3,,0.4854238629,0.495514065,0.5243846774,0.5077182055,0.5147767067,0.4531864822,0.5010190606,0.4863263369,0.5996932387,0.4588930905,0.4010004103,0.3217839897,0.6041668653,0.5428179502,0.5692119002,0.2524290681,0.4764958322,0.3609905839,0.9975153208,0.0948381424,0.4851679504,0.5309684277,0.4716236293,0.4471605718,0.4687594473,0.2004215568,0.4987546206,0.4949844182,0.7296049595,0.4405575097
starbucks,2019-12,Barista,"Guildford, England",United Kingdom,Former Employee,Social Place to Work,2,4,,,,,,0.5496717095,0.5585318208,0.4674919248,0.4891189933,0.480704546,0.3649764359,0.4810750782,0.4908880889,0.4228124917,0.2893742919,0.4256149232,0.2669790685,0.701777041,0.5105111003,0.6428474784,0.0149193434,0.5684479475,0.3417966366,0.9808753729,0.01487158239,0.4304670095,0.3947349191,0.419669956,0.5532647371,0.5379630923,0.2508533299,0.4395873845,0.5112425685,0.4570371509,0.4541384876
starbucks,2019-11,Barista,"Manchester, England",United Kingdom,Current Employee,Really good,3,5,5,5,5,5,5,0.419141531,0.4601354599,0.5496561527,0.5079561472,0.531355679,0.4517902434,0.5183933973,0.4795568585,0.7316417098,0.4225694537,0.5934006572,0.3254860342,0.515570879,0.7848125696,0.8356702924,0.007429635152,0.2470908612,0.2929578424,0.4899668097,0.01629027724,0.3117464781,0.1947810203,0.5062875748,0.5619279146,0.5243135095,0.3959621191,0.4747736156,0.4524228871,0.8727538586,0.4004953504
starbucks,2019-11,Shift Supervisors,"London, England",United Kingdom,Former Employee,Excellent training in retail and management.,5,5,5,5,5,4,5,0.7541424632,0.6416664124,0.3494862616,0.6502156854,0.4516658485,0.001115871826,0.4563420713,0.4971746504,0.05777511373,0.1000839919,0.9920185208,0.2553877532,0.1013673395,5.73E-07,0.09556476027,0.001157741062,0.8452824354,0.4817517996,0.07389472425,0.008969829418,0.667804122,0.6012931466,0.2638258934,0.4366514087,0.341175735,0.00179420365,0.4118596911,0.5347567201,0.2320900261,0.51246804
starbucks,2019-11,Barista,,,Current Employee,Good,1,4,3,4,2,4,3,0.4854238629,0.495514065,0.5243846774,0.5077182055,0.5147767067,0.4531864822,0.5010190606,0.4863263369,0.5996932387,0.4588930905,0.993721664,0.936555028,0.06355523318,5.70E-07,0.04689282179,0.02654547803,0.004845874384,0.3704585135,0.0850507021,0.006974077784,0.6134427786,0.05430234969,0.2714117765,8.79E-07,0.8165563941,0.0425892882,0.008991817012,0.2773812711,0.4735906422,0.003861318342
starbucks,2019-11,Barista,,,Former Employee,Great,4,5,3,4,5,5,3,0.4941681921,0.4989888966,0.560097456,0.5028497577,0.4812172651,0.4168068469,0.4977353215,0.484064877,0.5308471322,0.4096265137,0.3452745378,0.2713642716,0.6104118824,0.7087665796,0.641687572,0.1816678792,0.5040737987,0.5286934972,0.7111498117,0.04106596485,0.422321111,0.355846107,0.294262886,0.4509425461,0.4067650437,0.007277224679,0.4593789577,0.534850359,0.188633889,0.4669862092
starbucks,2019-12,Senior Barista,"London, England",United Kingdom,Former Employee,"Can be fun, rushed off feet &amp; inexperienced managers",2,3,,,,,,0.5374371409,0.4718855917,0.3554411232,0.561047554,0.4459487498,0.009694394656,0.3237335682,0.3317095935,0.9865195751,0.4350231886,0.5176920891,0.4407331347,0.4895278513,0.4860077798,0.5213635564,0.2543985248,0.4796647727,0.4382438958,0.9374086857,0.2034204006,0.7400009632,0.2999560535,0.2286244333,0.5805760622,0.470510304,0.06202965602,0.4959727824,0.4714846611,0.5320796967,0.2571277022
starbucks,2019-12,Barista,,,Current Employee,Meh,2,2,1,1,3,1,2,0.449165225,0.4782951474,0.4830754995,0.4817575514,0.4598071277,0.4916039109,0.4884877801,0.4857584834,0.5366612077,0.5627509952,0.560287416,0.5316064954,0.4189280272,0.419357717,0.5027135611,0.04869873449,0.4084607065,0.454287529,0.5316527486,0.3876666129,0.4889635742,0.5107526779,0.5347646475,0.6066409945,0.4537374079,0.2859392464,0.451654017,0.4911905229,0.5230574608,0.330257684
starbucks,2019-11,Barista,"London, England",United Kingdom,Current Employee,bad bad bad,3,2,1,1,1,1,1,0.4061670303,0.3494754732,0.3680562675,0.4870161712,0.5205467939,0.1012944728,0.5354388356,0.4768703282,0.5476306081,0.7983995676,0.3314191997,0.3967704475,0.5575240254,0.4449529052,0.4241451919,0.5832737684,0.4996744096,0.4385285974,0.5938865542,0.5681958199,0.4572973549,0.3965539038,0.4234988689,0.533034265,0.3764814138,0.2034212649,0.487391144,0.5012476444,0.6300614476,0.4585068822
starbucks,2019-11,Partner,,,Current Employee,Not too bad,3,4,3,5,4,5,4,0.4202622175,0.4237846136,0.4343166351,0.4884993732,0.5142121911,0.2948125303,0.4915511906,0.5243045092,0.5970128775,0.6635194421,0.3939197958,0.2329449654,0.7537193298,0.6429404616,0.6255822182,0.2049229145,0.4700586796,0.4168971777,0.663294971,0.02104456164,0.6727900505,0.6875808239,0.3962248266,0.6092298031,0.4876008034,0.03443513066,0.3785436749,0.4530317783,0.3971526325,0.3694295287
starbucks,2019-11,Shift Supervisor,,,Current Employee,Supervisor,3,3,,,,,,0.4912650287,0.5315859318,0.4825545251,0.4826029241,0.4874601364,0.4948422909,0.4795815349,0.4943490028,0.4836682081,0.4759555459,0.6860926747,0.3515251577,0.6053901315,0.4100624919,0.4785663784,0.01520134974,0.2933852077,0.533750236,0.2522816956,0.1189506575,0.6605146527,0.4507764578,0.5961785913,0.3086787164,0.5472629666,0.01190949976,0.3499395549,0.4183014035,0.3968708217,0.1780710667
