date,filter,text
31 December 2010,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 70.52%
31 December 2011,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 39.29%
31 December 2012,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 10.95%
31 December 2013,edwardslifesciences,edwardslifesciences's yearly stock price <b>decreased</b> by 15.73%
31 December 2014,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 24.03%
31 December 2015,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 55.61%
31 December 2016,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 38.81%
31 December 2017,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 8.01%
31 December 2018,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 32.94%
31 December 2019,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 40.42%
31 December 2020,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 14.24%
31 December 2021,edwardslifesciences,edwardslifesciences's yearly stock price <b>increased</b> by 13.77%
31 December 2009,perkinelmer,perkinelmer's yearly stock price <b>decreased</b> by 30.05%
31 December 2010,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 36.85%
31 December 2011,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 6.66%
31 December 2012,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 16.42%
31 December 2013,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 30.13%
31 December 2014,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 26.45%
31 December 2015,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 12.97%
31 December 2016,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 4.69%
31 December 2017,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 23.90%
31 December 2018,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 26.67%
31 December 2019,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 11.93%
31 December 2020,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 19.57%
31 December 2021,perkinelmer,perkinelmer's yearly stock price <b>increased</b> by 39.08%
31 December 2009,edison,edison's yearly stock price <b>decreased</b> by 28.08%
31 December 2010,edison,edison's yearly stock price <b>increased</b> by 13.74%
31 December 2011,edison,edison's yearly stock price <b>increased</b> by 14.19%
31 December 2012,edison,edison's yearly stock price <b>increased</b> by 19.60%
31 December 2013,edison,edison's yearly stock price <b>increased</b> by 11.87%
31 December 2014,edison,edison's yearly stock price <b>increased</b> by 20.82%
31 December 2015,edison,edison's yearly stock price <b>increased</b> by 11.81%
31 December 2016,edison,edison's yearly stock price <b>increased</b> by 18.35%
31 December 2017,edison,edison's yearly stock price <b>increased</b> by 13.26%
31 December 2018,edison,edison's yearly stock price <b>decreased</b> by 15.89%
31 December 2019,edison,edison's yearly stock price <b>increased</b> by 8.82%
31 December 2020,edison,edison's yearly stock price <b>decreased</b> by 5.87%
31 December 2021,edison,edison's yearly stock price <b>increased</b> by 2.09%
31 December 2009,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 50.68%
31 December 2010,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 96.80%
31 December 2011,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 12.72%
31 December 2012,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 7.67%
31 December 2013,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 64.66%
31 December 2014,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 53.63%
31 December 2015,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 12.09%
31 December 2016,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 5.24%
31 December 2017,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 47.00%
31 December 2018,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 31.84%
31 December 2019,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 35.88%
31 December 2020,livenationentertainment,livenationentertainment's yearly stock price <b>decreased</b> by 14.97%
31 December 2021,livenationentertainment,livenationentertainment's yearly stock price <b>increased</b> by 34.87%
31 December 2009,northropgrumman,northropgrumman's yearly stock price <b>decreased</b> by 23.49%
31 December 2010,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 31.01%
31 December 2011,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 11.37%
31 December 2012,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 10.67%
31 December 2013,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 40.25%
31 December 2014,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 49.02%
31 December 2015,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 36.11%
31 December 2016,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 28.74%
31 December 2017,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 26.46%
31 December 2018,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 19.43%
31 December 2019,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 4.44%
31 December 2020,northropgrumman,northropgrumman's yearly stock price <b>increased</b> by 3.73%
31 December 2021,northropgrumman,northropgrumman's yearly stock price <b>decreased</b> by 8.23%
31 December 2009,churchdwight,churchdwight's yearly stock price <b>decreased</b> by 2.11%
31 December 2010,churchdwight,churchdwight's yearly stock price <b>increased</b> by 20.86%
31 December 2011,churchdwight,churchdwight's yearly stock price <b>increased</b> by 26.12%
31 December 2012,churchdwight,churchdwight's yearly stock price <b>increased</b> by 29.46%
31 December 2013,churchdwight,churchdwight's yearly stock price <b>increased</b> by 21.58%
31 December 2014,churchdwight,churchdwight's yearly stock price <b>increased</b> by 13.85%
31 December 2015,churchdwight,churchdwight's yearly stock price <b>increased</b> by 24.20%
31 December 2016,churchdwight,churchdwight's yearly stock price <b>increased</b> by 12.17%
31 December 2017,churchdwight,churchdwight's yearly stock price <b>increased</b> by 6.74%
31 December 2018,churchdwight,churchdwight's yearly stock price <b>increased</b> by 12.62%
31 December 2019,churchdwight,churchdwight's yearly stock price <b>increased</b> by 33.78%
31 December 2020,churchdwight,churchdwight's yearly stock price <b>increased</b> by 14.10%
31 December 2021,churchdwight,churchdwight's yearly stock price <b>increased</b> by 5.00%
31 December 2009,autozone,autozone's yearly stock price <b>increased</b> by 24.77%
31 December 2010,autozone,autozone's yearly stock price <b>increased</b> by 35.01%
31 December 2011,autozone,autozone's yearly stock price <b>increased</b> by 44.61%
31 December 2012,autozone,autozone's yearly stock price <b>increased</b> by 26.02%
31 December 2013,autozone,autozone's yearly stock price <b>increased</b> by 12.21%
31 December 2014,autozone,autozone's yearly stock price <b>increased</b> by 28.79%
31 December 2015,autozone,autozone's yearly stock price <b>increased</b> by 30.33%
31 December 2016,autozone,autozone's yearly stock price <b>increased</b> by 10.33%
31 December 2017,autozone,autozone's yearly stock price <b>decreased</b> by 16.70%
31 December 2018,autozone,autozone's yearly stock price <b>increased</b> by 13.12%
31 December 2019,autozone,autozone's yearly stock price <b>increased</b> by 46.09%
31 December 2020,autozone,autozone's yearly stock price <b>increased</b> by 4.77%
31 December 2021,autozone,autozone's yearly stock price <b>increased</b> by 8.96%
31 December 2009,appliedmaterials,appliedmaterials's yearly stock price <b>decreased</b> by 27.63%
31 December 2010,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 8.33%
31 December 2011,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 6.39%
31 December 2012,appliedmaterials,appliedmaterials's yearly stock price <b>decreased</b> by 10.10%
31 December 2013,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 37.56%
31 December 2014,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 39.97%
31 December 2015,appliedmaterials,appliedmaterials's yearly stock price <b>decreased</b> by 4.62%
31 December 2016,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 28.92%
31 December 2017,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 82.17%
31 December 2018,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 5.22%
31 December 2019,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 1.84%
31 December 2020,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 35.72%
31 December 2021,appliedmaterials,appliedmaterials's yearly stock price <b>increased</b> by 68.16%
31 December 2009,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 20.43%
31 December 2010,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 26.34%
31 December 2011,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 2.29%
31 December 2012,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 13.55%
31 December 2013,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 68.50%
31 December 2014,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 34.04%
31 December 2015,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 33.50%
31 December 2016,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 23.71%
31 December 2017,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 24.75%
31 December 2018,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 21.28%
31 December 2019,bostonscientific,bostonscientific's yearly stock price <b>increased</b> by 25.13%
31 December 2020,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 7.06%
31 December 2021,bostonscientific,bostonscientific's yearly stock price <b>decreased</b> by 0.92%
31 December 2009,albemarle,albemarle's yearly stock price <b>decreased</b> by 15.78%
31 December 2010,albemarle,albemarle's yearly stock price <b>increased</b> by 58.26%
31 December 2011,albemarle,albemarle's yearly stock price <b>increased</b> by 30.78%
31 December 2012,albemarle,albemarle's yearly stock price <b>increased</b> by 5.76%
31 December 2013,albemarle,albemarle's yearly stock price <b>increased</b> by 8.92%
31 December 2014,albemarle,albemarle's yearly stock price <b>increased</b> by 2.03%
31 December 2015,albemarle,albemarle's yearly stock price <b>decreased</b> by 14.99%
31 December 2016,albemarle,albemarle's yearly stock price <b>increased</b> by 41.11%
31 December 2017,albemarle,albemarle's yearly stock price <b>increased</b> by 57.76%
31 December 2018,albemarle,albemarle's yearly stock price <b>decreased</b> by 12.92%
31 December 2019,albemarle,albemarle's yearly stock price <b>decreased</b> by 25.74%
31 December 2020,albemarle,albemarle's yearly stock price <b>increased</b> by 24.26%
31 December 2021,albemarle,albemarle's yearly stock price <b>increased</b> by 92.82%
31 December 2009,constellationbrands,constellationbrands's yearly stock price <b>decreased</b> by 24.98%
31 December 2010,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 24.13%
31 December 2011,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 14.65%
31 December 2012,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 34.49%
31 December 2013,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 96.14%
31 December 2014,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 60.30%
31 December 2015,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 44.87%
31 December 2016,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 28.20%
31 December 2017,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 20.99%
31 December 2018,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 15.78%
31 December 2019,constellationbrands,constellationbrands's yearly stock price <b>decreased</b> by 10.69%
31 December 2020,constellationbrands,constellationbrands's yearly stock price <b>decreased</b> by 2.64%
31 December 2021,constellationbrands,constellationbrands's yearly stock price <b>increased</b> by 25.62%
31 December 2009,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 10.00%
31 December 2010,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 0.61%
31 December 2011,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 11.53%
31 December 2012,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 4.01%
31 December 2013,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 39.63%
31 December 2014,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 0.77%
31 December 2015,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 2.06%
31 December 2016,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 14.90%
31 December 2017,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 46.85%
31 December 2018,nortonlifelock,nortonlifelock's yearly stock price <b>decreased</b> by 21.72%
31 December 2019,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 0.30%
31 December 2020,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 55.07%
31 December 2021,nortonlifelock,nortonlifelock's yearly stock price <b>increased</b> by 6.76%
31 December 2009,capitalone,capitalone's yearly stock price <b>decreased</b> by 34.77%
31 December 2010,capitalone,capitalone's yearly stock price <b>increased</b> by 50.21%
31 December 2011,capitalone,capitalone's yearly stock price <b>increased</b> by 18.16%
31 December 2012,capitalone,capitalone's yearly stock price <b>increased</b> by 14.98%
31 December 2013,capitalone,capitalone's yearly stock price <b>increased</b> by 17.94%
31 December 2014,capitalone,capitalone's yearly stock price <b>increased</b> by 25.83%
31 December 2015,capitalone,capitalone's yearly stock price <b>increased</b> by 3.28%
31 December 2016,capitalone,capitalone's yearly stock price <b>decreased</b> by 8.73%
31 December 2017,capitalone,capitalone's yearly stock price <b>increased</b> by 23.13%
31 December 2018,capitalone,capitalone's yearly stock price <b>increased</b> by 11.80%
31 December 2019,capitalone,capitalone's yearly stock price <b>decreased</b> by 3.66%
31 December 2020,capitalone,capitalone's yearly stock price <b>decreased</b> by 14.12%
31 December 2021,capitalone,capitalone's yearly stock price <b>increased</b> by 46.64%
31 December 2009,infosys,infosys's yearly stock price <b>increased</b> by 6.02%
31 December 2010,infosys,infosys's yearly stock price <b>increased</b> by 64.59%
31 December 2011,infosys,infosys's yearly stock price <b>decreased</b> by 0.21%
31 December 2012,infosys,infosys's yearly stock price <b>decreased</b> by 20.79%
31 December 2013,infosys,infosys's yearly stock price <b>increased</b> by 5.87%
31 December 2014,infosys,infosys's yearly stock price <b>increased</b> by 21.27%
31 December 2015,infosys,infosys's yearly stock price <b>increased</b> by 19.40%
31 December 2016,infosys,infosys's yearly stock price <b>increased</b> by 1.16%
31 December 2017,infosys,infosys's yearly stock price <b>decreased</b> by 8.70%
31 December 2018,infosys,infosys's yearly stock price <b>increased</b> by 28.88%
31 December 2019,infosys,infosys's yearly stock price <b>increased</b> by 17.23%
31 December 2020,infosys,infosys's yearly stock price <b>increased</b> by 13.48%
31 December 2021,infosys,infosys's yearly stock price <b>increased</b> by 54.34%
31 December 2020,newmont,newmont's yearly stock price <b>increased</b> by 56.42%
31 December 2021,newmont,newmont's yearly stock price <b>increased</b> by 0.16%
31 December 2009,msci,msci's yearly stock price <b>decreased</b> by 11.06%
31 December 2010,msci,msci's yearly stock price <b>increased</b> by 37.15%
31 December 2011,msci,msci's yearly stock price <b>increased</b> by 4.78%
31 December 2012,msci,msci's yearly stock price <b>decreased</b> by 5.35%
31 December 2013,msci,msci's yearly stock price <b>increased</b> by 11.14%
31 December 2014,msci,msci's yearly stock price <b>increased</b> by 22.75%
31 December 2015,msci,msci's yearly stock price <b>increased</b> by 39.26%
31 December 2016,msci,msci's yearly stock price <b>increased</b> by 26.95%
31 December 2017,msci,msci's yearly stock price <b>increased</b> by 39.25%
31 December 2018,msci,msci's yearly stock price <b>increased</b> by 48.53%
31 December 2019,msci,msci's yearly stock price <b>increased</b> by 41.41%
31 December 2020,msci,msci's yearly stock price <b>increased</b> by 57.32%
31 December 2021,msci,msci's yearly stock price <b>increased</b> by 24.86%
31 December 2009,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 54.10%
31 December 2010,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 12.36%
31 December 2011,electronicarts,electronicarts's yearly stock price <b>increased</b> by 26.27%
31 December 2012,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 30.64%
31 December 2013,electronicarts,electronicarts's yearly stock price <b>increased</b> by 49.38%
31 December 2014,electronicarts,electronicarts's yearly stock price <b>increased</b> by 57.34%
31 December 2015,electronicarts,electronicarts's yearly stock price <b>increased</b> by 86.52%
31 December 2016,electronicarts,electronicarts's yearly stock price <b>increased</b> by 15.16%
31 December 2017,electronicarts,electronicarts's yearly stock price <b>increased</b> by 40.83%
31 December 2018,electronicarts,electronicarts's yearly stock price <b>increased</b> by 13.57%
31 December 2019,electronicarts,electronicarts's yearly stock price <b>decreased</b> by 18.75%
31 December 2020,electronicarts,electronicarts's yearly stock price <b>increased</b> by 27.64%
31 December 2021,electronicarts,electronicarts's yearly stock price <b>increased</b> by 17.09%
31 December 2009,pepsico,pepsico's yearly stock price <b>decreased</b> by 12.66%
31 December 2010,pepsico,pepsico's yearly stock price <b>increased</b> by 19.81%
31 December 2011,pepsico,pepsico's yearly stock price <b>increased</b> by 4.31%
31 December 2012,pepsico,pepsico's yearly stock price <b>increased</b> by 8.18%
31 December 2013,pepsico,pepsico's yearly stock price <b>increased</b> by 21.08%
31 December 2014,pepsico,pepsico's yearly stock price <b>increased</b> by 13.69%
31 December 2015,pepsico,pepsico's yearly stock price <b>increased</b> by 12.11%
31 December 2016,pepsico,pepsico's yearly stock price <b>increased</b> by 10.26%
31 December 2017,pepsico,pepsico's yearly stock price <b>increased</b> by 12.09%
31 December 2018,pepsico,pepsico's yearly stock price <b>increased</b> by 0.93%
31 December 2019,pepsico,pepsico's yearly stock price <b>increased</b> by 19.35%
31 December 2020,pepsico,pepsico's yearly stock price <b>increased</b> by 9.57%
31 December 2021,pepsico,pepsico's yearly stock price <b>increased</b> by 4.19%
31 December 2009,starbucks,starbucks's yearly stock price <b>increased</b> by 3.37%
31 December 2010,starbucks,starbucks's yearly stock price <b>increased</b> by 67.32%
31 December 2011,starbucks,starbucks's yearly stock price <b>increased</b> by 46.98%
